,d1,d2,cluster
0,8.809783,7.611147,0
1576,13.7411782553,13.946480536600001,0
1575,11.7854921927,13.3376768304,0
1574,10.1220146443,13.5414830882,0
1573,12.5774079461,13.754613371800001,0
1572,9.8862767473,13.625591813900002,0
1571,11.6153301387,13.5918742698,0
1570,12.2177521477,13.3020403123,0
1569,10.6604288053,13.605949323399999,0
1568,14.762151266199998,13.239965573,0
1567,10.1913045226,13.808733500799999,0
1566,10.7318731907,13.8042734771,0
1565,11.9923234913,13.404458030899999,0
1564,11.2660804854,13.8941766224,0
1563,11.8301772492,13.6230408608,0
1562,10.895340719000002,13.4741467028,0
1561,9.630927786900001,13.499351966199999,0
1560,10.751512670899999,13.659134768900001,0
1559,12.212948837799999,13.273317537999999,0
1558,15.3223140643,13.6340696833,0
1557,14.947038288699998,13.235205179600001,0
1556,14.1344049829,13.2777943842,0
1577,14.887250861199998,13.7811699384,0
1555,14.452150443299999,13.3310057149,0
1578,12.356384419600001,14.1132184722,0
1580,10.3930771784,13.9308842291,0
1601,12.500842651600001,14.0979087879,0
1600,14.267081530499999,14.1101313639,0
1599,12.7134236204,13.7854102327,0
1598,9.682635428200001,13.6200731958,0
1597,12.359118181700001,13.8398507031,0
1596,15.2624413932,13.4243634397,0
1595,10.4235782309,14.139097438199999,0
1594,11.4788985529,13.688353405099999,0
1593,12.439901788299998,13.811358356700001,0
1592,15.674573168599998,13.5944717445,0
1591,14.5391139786,13.8636478575,0
1590,10.4892374557,13.4356249336,0
1589,15.2340081134,13.8234680926,0
1588,14.379689658299998,13.7419334755,0
1587,14.909980568599998,13.7055426024,0
1586,9.696205211799999,13.7733618473,0
1585,16.460361270699998,14.0604681226,0
1584,10.819771597899999,13.7790809109,0
1583,12.1761347593,13.493571041,0
1582,9.608772912300001,13.7964951452,0
1581,12.537507491400001,13.5374504501,0
1579,10.9510098202,13.3533392153,0
1602,16.1277049936,13.915600335699999,0
1554,16.325715184,14.1653246126,0
1552,12.2902697448,13.7772393516,0
1526,15.636362453699999,14.0121028414,0
1525,16.3714048769,13.9613189227,0
1524,11.6300560436,13.268118511900001,0
1523,9.623150749099999,13.207058005499999,0
1522,12.609077405,14.015019513,0
1521,16.1076363442,14.135820742,0
1520,11.285557713800001,13.298086818800002,0
1519,9.656337430499999,13.6506529481,0
1518,14.4533274902,13.308932251600002,0
1517,13.456220214000002,13.3440127078,0
